keys,en,fr
tutorial_01,MOVING,MOUVEMENTS
tutorial_01_title,MOVING,MOUVEMENTS
tutorial_01_description,Learn how to move the ROV,Apprenez à déplacer le robot
tutorial_02,SPEED,VITESSE
tutorial_02_title,SPEED,VITESSE
tutorial_02_description,Learn how to change speeds on the ROV,Apprenez à changer de vitesse
tutorial_03,LIGHTS,LUMIÈRES
tutorial_03_title,LIGHTS,LUMIÈRES
tutorial_03_description,Learn how to use the lights the ROV,Apprenez à utiliser les lumières
tutorial_04,GRIPPER,PINCE
tutorial_04_title,GRIPPER,PINCE
tutorial_04_description,Learn how to use the gripper tool,Apprenez à utiliser la pince
tutorial_05,VACUUM,ASPIRATEUR
tutorial_05_title,VACUUM,ASPIRATEUR
tutorial_05_description,Learn how to use the vacuum cleaner,Apprenez à utiliser l'aspirateur
tutorial_06,CUTTER,CISAILLE
tutorial_06_title,CUTTER,CISAILLE
tutorial_06_description,Learn how to use the cutter tool,Apprenez à utiliser la cisaille
tutorial_07,MAGNET & GRAPPLING HOOK,AIMANT & GRAPPIN
tutorial_07_title,MAGNET & GRAPPLING HOOK,AIMANT & GRAPPIN
tutorial_07_description,Learn how to use the magnet and grappling hook,Apprenez à remonter des objets à l'aide d'un aimant et d'un grappin
