keys,en,fr
EXIT,Exit,Quitter
CREDITS,Credits,Crédits
GAMEPLAY,GAMEPLAY,MODE DE JEU
TUTORIALS,TUTORIALS,TUTORIELS
PLAY,PLAY,JOUER
BOOK_SESSION,BOOK SESSION,PLANIFIER UNE SESSION
RESET,RESET,Rétablir
CANCEL,CANCEL,Annuler
BACK,BACK,Retour
BACK_TO_MISSIONS_MAP,BACK TO MISSION MAP,Carte des missions
BACK_TO_MAIN_MENU,BACK TO MAIN MENU,Retour au menu principal
MAIN_MENU,MAIN MENU,Menu principal
MISSION_START,START MISSION,Démarrer la mission
DEPTH,DEPTH,Profondeur
ORIENTATION,ORIENTATION,Orientation
SPEED,SPEED,Vitesse
LOADING,LOADING...,Chargement…
LOADING_PROGRESS,LOADING… {percentage},Chargement… {percentage}
MISSION_ENDED,MISSION ENDED,Fin de mission
RESTART,RESTART,Relancer
MISSION_NEXT,NEXT MISSION,Mission suivante
CONTINUE,CONTINUE,Continuer
MISSION_RESTART,RESTART MISSION,Réessayer
RETURN_TO_GAME,RETURN TO GAME,Reprendre le jeu
SETTINGS_LINK,Settings,Paramètres
PAUSE,PAUSE,Pause
LOGIN,LOGIN,Se connecter
CONTINUE_WITHOUT_LOGIN,CONTINUE WITHOUT LOGIN,Continuer sans se connecter
USERNAME,USERNAME,Nom d’utilisateur
PASSWORD,PASSWORD,Mot de passe
